Municipality,Canton,Entity,Voters,KZCiD,HDZ,SDP,ZL 97,ZAVICAJ,DNZ,SDA,Independent Candidates,SDC Cazin,BOSS,HSS,BPS,SZS,HSP,HNZ,HKDP,ZAD,NS,SDS,SRS,SPRS,SSS,DSZBLiK,DS,SPO,NRS-Z,SDR,NDP,SOS,SPAS,SSKiP,SNS,SD,DPSRS,NRS,ZAB,SSJ,SPD,StrZA,SRS (*),SOF,UL,OS,DPS
Sanski Most RS,Republika Srpska West,Republika Srpska,3049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banja Luka,Republika Srpska West,Republika Srpska,116139,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,4,12,0,0,0,0,0,0,0,0,5,12,0,0,8,0,8,1,0,3,0,0,0,0,0
Celinac,Republika Srpska West,Republika Srpska,10393,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,12,6,15,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Doboj,Republika Srpska West,Republika Srpska,57506,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gracanica RS,Republika Srpska West,Republika Srpska,5431,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drvar RS,Republika Srpska West,Republika Srpska,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
Kljuc RS,Republika Srpska West,Republika Srpska,5682,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,15,16,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Mrkonjic Grad,Republika Srpska West,Republika Srpska,13956,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,12,24,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jajce RS,Republika Srpska West,Republika Srpska,869,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
Skender Vakuf,Republika Srpska West,Republika Srpska,7782,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,18,4,10,2,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Kotor Varos,Republika Srpska West,Republika Srpska,17482,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teslic,Republika Srpska West,Republika Srpska,30295,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sipovo,Republika Srpska West,Republika Srpska,8286,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kupres RS,Republika Srpska West,Republika Srpska,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,1590,624,209,63,36,20,16,12,2,20,21,15,8,15,1,4,19,18,965,530,293,22,13,9,8,2,2,2,1,45,40,39,23,12,9,8,7,6,3,3,2,1,1,1
